species,image_url
"Singing Cisticola
",https://inaturalist-open-data.s3.amazonaws.com/photos/667755/small.jpg
"Carruthers's Cisticola
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Chubb's Cisticola
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Ashy Cisticola
",https://inaturalist-open-data.s3.amazonaws.com/photos/667751/small.jpg
"Red-faced Cisticola
",https://inaturalist-open-data.s3.amazonaws.com/photos/667752/small.jpg
"Black-necked Cisticola
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Winding Cisticola
",https://inaturalist-open-data.s3.amazonaws.com/photos/258454/small.jpg
"Hunter's Cisticola
",https://inaturalist-open-data.s3.amazonaws.com/photos/667764/small.jpg
"Zitting Cisticola
",https://inaturalist-open-data.s3.amazonaws.com/photos/529208/small.jpg
"Wailing Cisticola
",https://inaturalist-open-data.s3.amazonaws.com/photos/667754/small.jpg
"Whistling Cisticola
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Croaking Cisticola
",https://inaturalist-open-data.s3.amazonaws.com/photos/667763/small.jpg
"Tana River Cisticola
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Stout Cisticola
",https://inaturalist-open-data.s3.amazonaws.com/photos/667772/small.jpg
"Levaillant's Cisticola
",https://inaturalist-open-data.s3.amazonaws.com/photos/26535/small.jpg
"Foxy Cisticola
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Trilling Cisticola
",https://inaturalist-open-data.s3.amazonaws.com/photos/667757/small.jpg
"Banded Prinia
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Pale Prinia
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Tawny-flanked Prinia
",https://inaturalist-open-data.s3.amazonaws.com/photos/226274/small.jpg
"Green-backed Camaroptera
",https://inaturalist-open-data.s3.amazonaws.com/photos/163798/small.jpg
"Olive-green Camaroptera
",https://inaturalist-open-data.s3.amazonaws.com/photos/143944/small.jpg
"White-winged Apalis
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Gray Apalis
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Yellow-breasted Apalis
",https://inaturalist-open-data.s3.amazonaws.com/photos/258458/small.jpg
"Black-throated Apalis
",https://inaturalist-open-data.s3.amazonaws.com/photos/771494/small.jpg
"Karamoja Apalis
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Black-headed Apalis
",https://inaturalist-open-data.s3.amazonaws.com/photos/771477/small.jpg
"Chestnut-throated Apalis
",https://inaturalist-open-data.s3.amazonaws.com/photos/771480/small.jpg
"Gray-capped Warbler
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"White-necked Raven
",https://inaturalist-open-data.s3.amazonaws.com/photos/35092/small.jpg
"Pied Crow
",https://inaturalist-open-data.s3.amazonaws.com/photos/32121/small.jpg
"Cape Crow
",https://inaturalist-open-data.s3.amazonaws.com/photos/151745/small.jpg
"Fan-tailed Raven
",https://inaturalist-open-data.s3.amazonaws.com/photos/35099/small.jpg
"Brown-necked Raven
",https://inaturalist-open-data.s3.amazonaws.com/photos/35093/small.jpg
"House Crow
",https://inaturalist-open-data.s3.amazonaws.com/photos/32119/small.jpg
"Piapiac
",https://inaturalist-open-data.s3.amazonaws.com/photos/151770/small.jpg
"Oriole Finch
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Black-throated Canary
",https://inaturalist-open-data.s3.amazonaws.com/photos/164283/small.jpg
"Southern Grosbeak-Canary
",https://inaturalist-open-data.s3.amazonaws.com/photos/987815/small.jpg
"Thick-billed Seedeater
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"African Citril
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Northern Grosbeak-Canary
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"White-bellied Canary
",https://inaturalist-open-data.s3.amazonaws.com/photos/987794/small.jpg
"Western Citril
",https://inaturalist-open-data.s3.amazonaws.com/photos/987811/small.jpg
"Streaky-headed Seedeater
",https://inaturalist-open-data.s3.amazonaws.com/photos/323175/small.JPG
"Southern Citril
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Papyrus Canary
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Tanzania Seedeater
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Yellow-fronted Canary
",https://inaturalist-open-data.s3.amazonaws.com/photos/68164/small.jpg
"Reichard's Seedeater
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Streaky Seedeater
",https://inaturalist-open-data.s3.amazonaws.com/photos/164089/small.jpg
"Brimstone Canary
",https://inaturalist-open-data.s3.amazonaws.com/photos/258463/small.jpg
"Black Coucal
",https://inaturalist-open-data.s3.amazonaws.com/photos/65310/small.jpg
"Blue-headed Coucal
",https://inaturalist-open-data.s3.amazonaws.com/photos/103673/small.jpg
"Senegal Coucal
",https://inaturalist-open-data.s3.amazonaws.com/photos/8435/small.jpg
"White-browed Coucal
",https://inaturalist-open-data.s3.amazonaws.com/photos/31625/small.jpg
"Dideric Cuckoo
",https://inaturalist-open-data.s3.amazonaws.com/photos/649468/small.jpg
"African Emerald Cuckoo
",https://inaturalist-open-data.s3.amazonaws.com/photos/632922/small.jpg
"Klaas's Cuckoo
",https://inaturalist-open-data.s3.amazonaws.com/photos/103675/small.jpg
"Great Spotted Cuckoo
",https://inaturalist-open-data.s3.amazonaws.com/photos/81559/small.jpg
"Jacobin Cuckoo
",https://inaturalist-open-data.s3.amazonaws.com/photos/25989/small.jpg
"Levaillant's Cuckoo
",https://inaturalist-open-data.s3.amazonaws.com/photos/103679/small.jpg
"Common Cuckoo
",https://inaturalist-open-data.s3.amazonaws.com/photos/8823/small.jpg
"Black Cuckoo
",https://inaturalist-open-data.s3.amazonaws.com/photos/103684/small.jpg
"African Cuckoo
",https://inaturalist-open-data.s3.amazonaws.com/photos/103683/small.jpg
"Lesser Cuckoo
",https://inaturalist-open-data.s3.amazonaws.com/photos/16892/small.jpg
"Madagascar Cuckoo
",https://inaturalist-open-data.s3.amazonaws.com/photos/811368/small.jpg
"Red-chested Cuckoo
",https://inaturalist-open-data.s3.amazonaws.com/photos/103680/small.jpg
"Barred Long-tailed Cuckoo
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Thick-billed Cuckoo
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Yellowbill
",https://inaturalist-open-data.s3.amazonaws.com/photos/103685/small.jpg
"Fischer's Turaco
",https://inaturalist-open-data.s3.amazonaws.com/photos/807860/small.jpg
"Hartlaub's Turaco
",https://inaturalist-open-data.s3.amazonaws.com/photos/807856/small.jpg
"White-crested Turaco
",https://inaturalist-open-data.s3.amazonaws.com/photos/6294/small.jpg
"Purple-crested Turaco
",https://inaturalist-open-data.s3.amazonaws.com/photos/32472/small.jpg
"Schalow's Turaco
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"White-bellied Go-away Bird
",https://inaturalist-open-data.s3.amazonaws.com/photos/12563/small.jpg
"Bare-faced Go-away Bird
",https://inaturalist-open-data.s3.amazonaws.com/photos/654973/small.jpg
"Ross's Turaco
",https://inaturalist-open-data.s3.amazonaws.com/photos/32467/small.jpg
"Eastern Grey Plantain-eater
",https://inaturalist-open-data.s3.amazonaws.com/photos/5522/small.jpg
"Great Blue Turaco
",https://inaturalist-open-data.s3.amazonaws.com/photos/646818/small.jpg
"Whitethroated Bee-eater
",https://inaturalist-open-data.s3.amazonaws.com/photos/88753/small.jpg
"European Bee-Eater
",https://inaturalist-open-data.s3.amazonaws.com/photos/25156/small.jpg
"White-fronted Bee-eater
",https://inaturalist-open-data.s3.amazonaws.com/photos/34910/small.jpg
"Swallow-tailed Bee-eater
",https://inaturalist-open-data.s3.amazonaws.com/photos/8080/small.jpg
"Blue-headed Bee-eater
",https://inaturalist-open-data.s3.amazonaws.com/photos/656467/small.jpg
"Northern Carmine Bee-eater
",https://inaturalist-open-data.s3.amazonaws.com/photos/156585/small.jpg
"Cinnamon-chested Bee-eater
",https://inaturalist-open-data.s3.amazonaws.com/photos/656341/small.jpg
"Blue-cheeked Bee-eater
",https://inaturalist-open-data.s3.amazonaws.com/photos/49854/small.jpg
"Little Bee-eater
",https://inaturalist-open-data.s3.amazonaws.com/photos/7903/small.jpg
"Somali Bee-eater
",https://inaturalist-open-data.s3.amazonaws.com/photos/656463/small.jpg
"Madagascar Bee-eater
",https://inaturalist-open-data.s3.amazonaws.com/photos/629553/small.jpg
"Blue-breasted Bee-eater
",https://inaturalist-open-data.s3.amazonaws.com/photos/656471/small.jpg
"Abyssinian Roller
",https://inaturalist-open-data.s3.amazonaws.com/photos/7433/small.jpg
"Lilac-breasted Roller
",https://inaturalist-open-data.s3.amazonaws.com/photos/8050/small.jpg
"European Roller
",https://inaturalist-open-data.s3.amazonaws.com/photos/5909/small.jpg
"Broad-billed Roller
",https://inaturalist-open-data.s3.amazonaws.com/photos/802988/small.jpg
"Brown-hooded Kingfisher
",https://inaturalist-open-data.s3.amazonaws.com/photos/740247/small.jpg
"Striped Kingfisher
",https://inaturalist-open-data.s3.amazonaws.com/photos/24008/small.jpg
"Gray-headed Kingfisher
",https://inaturalist-open-data.s3.amazonaws.com/photos/24006/small.jpg
"Woodland Kingfisher
",https://inaturalist-open-data.s3.amazonaws.com/photos/24010/small.jpg
"Mangrove Kingfisher
",https://inaturalist-open-data.s3.amazonaws.com/photos/632917/small.jpg
"Shining-blue Kingfisher
",https://inaturalist-open-data.s3.amazonaws.com/photos/215240/small.jpg
