species,image_url,image_filename
Pink-footed Puffback,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Black-backed Puffback,https://inaturalist-open-data.s3.amazonaws.com/photos/649512/small.jpg,228f6f30d50a85b980942b621497f03845445013.jpg
Northern Puffback,https://inaturalist-open-data.s3.amazonaws.com/photos/90569/small.jpg,c0eac4b1157fe8197d570fb9901edb2d2a91814d.jpg
Pringle's Puffback,https://inaturalist-open-data.s3.amazonaws.com/photos/649508/small.jpg,48497d8f57c56df8fc3859faba272007b1c85687.jpg
Brown-crowned Tchagra,https://inaturalist-open-data.s3.amazonaws.com/photos/90566/small.jpg,9ae2f7482a74e6465c01e2ae856ba4bf245aaedd.jpg
Three-streaked Tchagra,https://inaturalist-open-data.s3.amazonaws.com/photos/90567/small.jpg,3126419e759ee12860749d56e33efac5cf927fe2.jpg
Brubru,https://inaturalist-open-data.s3.amazonaws.com/photos/649510/small.jpg,594290b9e63a5fac28de13c26ca6dd3b4d4364c5.jpg
Rosy-patched Bushshrike,https://inaturalist-open-data.s3.amazonaws.com/photos/649519/small.jpg,50c9984eb11103205437f442b9b799ee32a749d1.jpg
African Paradise-Flycatcher,https://inaturalist-open-data.s3.amazonaws.com/photos/107683/small.jpg,8678bd8e6728cd9a1eb22274da868e74907fd0f8.jpg
African Crested-Flycatcher,https://inaturalist-open-data.s3.amazonaws.com/photos/323159/small.JPG,d787f6cd18d5825c718c697379a3d733039db584.jpg
African Golden Oriole,https://inaturalist-open-data.s3.amazonaws.com/photos/92212/small.jpg,2088388ae6bcea26453e4f068b155785e3e9dfe6.jpg
Western Black-headed Oriole,https://inaturalist-open-data.s3.amazonaws.com/photos/88533/small.JPG,5924a3b0b5fa10a28496d5b19359a3c202c3b188.jpg
Green-headed Oriole,https://inaturalist-open-data.s3.amazonaws.com/photos/92219/small.jpg,b099ece3d680b358396444cc571786197c726bf9.jpg
Black-headed Oriole,https://inaturalist-open-data.s3.amazonaws.com/photos/25790/small.jpg,ecf3a9b31092872c8a8c786c3c41322c850766af.jpg
Eurasian Golden Oriole,https://inaturalist-open-data.s3.amazonaws.com/photos/3598/small.jpg,76866c86d62585471e4dae86082dbf67efb4824e.jpg
Black-tailed Oriole,https://inaturalist-open-data.s3.amazonaws.com/photos/92220/small.jpg,196a252e1eadae20945eb8e615b05f23eb25d747.jpg
Black-and-white Shrike-flycatcher,https://inaturalist-open-data.s3.amazonaws.com/photos/716545/small.jpg,365262b1ecc9faac5bc858009936bbdfbcaa4a51.jpg
Rufous-naped Lark,https://inaturalist-open-data.s3.amazonaws.com/photos/735864/small.jpg,3c3c34333a8ac40efe22482464b8c47e6dba0410.jpg
White-tailed Lark,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Singing Bushlark,https://inaturalist-open-data.s3.amazonaws.com/photos/176747/small.jpg,d216ed2cf3b206e773d8a346eb64e3a2c992e0a8.jpg
Collared Lark,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Gillett's Lark,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Red-winged Lark,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Friedmann's Lark,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Flappet Lark,https://inaturalist-open-data.s3.amazonaws.com/photos/258469/small.jpg,9d130b3aaa1bfe403047d527106e9cf908964177.jpg
Williams's Lark,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Crested Lark,https://inaturalist-open-data.s3.amazonaws.com/photos/4945/small.jpg,348e04c8a39e988a352e0bab34c58f650dc61a1c.jpg
Malabar Lark,https://inaturalist-open-data.s3.amazonaws.com/photos/74644/small.jpg,0fad38e36f3715e013deb8155e27195fb3faf5a9.jpg
Thekla Lark,https://inaturalist-open-data.s3.amazonaws.com/photos/74643/small.jpg,271d65cdc1a8be47f41d01e34c776884da714ff1.jpg
Fischer's Sparrow-Lark,https://inaturalist-open-data.s3.amazonaws.com/photos/735845/small.jpg,e2a592cbf12b55ad825a74ec9ffa54c040c9a7df.jpg
Chestnut-backed Sparrow-Lark,https://inaturalist-open-data.s3.amazonaws.com/photos/258476/small.jpg,863f8128dfd8713cc3d26b6a981c336f423ed2c8.jpg
Red-capped Lark,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Somali Short-toed Lark,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Masked Lark,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Short-tailed Lark,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Spike-heeled Lark,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Spotted Creeper,https://inaturalist-open-data.s3.amazonaws.com/photos/708025/small.jpg,17b92a4cad934c8981268ae28d751f3c79a9c233.jpg
Aberdare Cisticola,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Rock-loving Cisticola,https://inaturalist-open-data.s3.amazonaws.com/photos/667759/small.jpg,f9651c5adc82e92d66ac79c18a5f76fbe096a60f.jpg
Tabora Cisticola,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Desert Cisticola,https://inaturalist-open-data.s3.amazonaws.com/photos/258453/small.jpg,5858c2d6fb2a005dbc7d75b54a7dc46d4c9e5e8f.jpg
Wing-snapping Cisticola,https://inaturalist-open-data.s3.amazonaws.com/photos/841218/small.jpg,52bd2c1baaacf1b4ed7bd9e8138cb25af9f10a0e.jpg
Boran Cisticola,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Siffling Cisticola,https://inaturalist-open-data.s3.amazonaws.com/photos/667769/small.jpg,f1e21b576b806480cb312df34abfdf3b934f4b46.jpg
Pectoral-patch Cisticola,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Singing Cisticola,https://inaturalist-open-data.s3.amazonaws.com/photos/667755/small.jpg,4dae8cd5d1eecec75d015a6ac04af445f5a06f05.jpg
Carruthers's Cisticola,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Chubb's Cisticola,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Ashy Cisticola,https://inaturalist-open-data.s3.amazonaws.com/photos/667751/small.jpg,bfa09211676083c5dac0cc74d2bfa454f7d9e8ed.jpg
Red-faced Cisticola,https://inaturalist-open-data.s3.amazonaws.com/photos/667752/small.jpg,74dfc2ab92ff4f6e999b96b3d9351d8e10cc1567.jpg
Black-necked Cisticola,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Winding Cisticola,https://inaturalist-open-data.s3.amazonaws.com/photos/258454/small.jpg,f09f4e30939af75fdd7f23014e0d5071124d41d4.jpg
Hunter's Cisticola,https://inaturalist-open-data.s3.amazonaws.com/photos/667764/small.jpg,db0f427b7116bfcdf89ac5a7aeb46439118c52bc.jpg
Zitting Cisticola,https://inaturalist-open-data.s3.amazonaws.com/photos/529208/small.jpg,d89377931950efa425b74baf15bb2165a6609410.jpg
Wailing Cisticola,https://inaturalist-open-data.s3.amazonaws.com/photos/667754/small.jpg,59cb996c5a4596c21ee5d98890d0bba8fbc2c6e1.jpg
Whistling Cisticola,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Croaking Cisticola,https://inaturalist-open-data.s3.amazonaws.com/photos/667763/small.jpg,e9255557824b1ab0e5a4510f2227e714ae0fc974.jpg
Tana River Cisticola,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Stout Cisticola,https://inaturalist-open-data.s3.amazonaws.com/photos/667772/small.jpg,8ddf6ee1aff3b5307e35bd8fcd49911b5e367f52.jpg
Levaillant's Cisticola,https://inaturalist-open-data.s3.amazonaws.com/photos/26535/small.jpg,34062052f7573ddf20b747c42a265bc37b0c4956.jpg
Foxy Cisticola,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Trilling Cisticola,https://inaturalist-open-data.s3.amazonaws.com/photos/667757/small.jpg,feceb21cddcc02e5cbd110314d228b7472b70d80.jpg
Banded Prinia,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Pale Prinia,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Tawny-flanked Prinia,https://inaturalist-open-data.s3.amazonaws.com/photos/226274/small.jpg,55e8d8c1e1585f6fb54356c8fce8afb10664188a.jpg
Green-backed Camaroptera,https://inaturalist-open-data.s3.amazonaws.com/photos/163798/small.jpg,03e16eb05425c02b310531486f284a60c19c6320.jpg
Olive-green Camaroptera,https://inaturalist-open-data.s3.amazonaws.com/photos/143944/small.jpg,492cbaabd5687c7d647fb8219ce00d010dee61f7.jpg
White-winged Apalis,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
